English,FrenchTranslations
belt,ceinture
best wishes,amitiés
between,entre
bicycle/bike,vélo/bicyclette
bike hire,location de vélos
bill,note/addition
bill (invoice),facture
billionth,milliardième
biology,sciences naturelles/sciences nat/biologie
birthday,anniversaire
birthplace,lieu de naissance
biscuit,biscuit/petit gâteau
bitter,amer/amère
black,noir
block (of flats),immeuble
blog,blog
blue,bleu
board (whiteboard),tableau
board game,jeu de société
boarding school,pensionnat/internat
boat,bateau
body building,musculation
body piercing,piercing
boiled egg/hard-boiled egg,oeuf à la coque/oeuf dur
book,livre
book of tickets,carnet
boots,bottes
border,frontière
born,né
bossy,autoritaire
bottle,bouteille
bowling alley,bowling
boxer shorts,caleçon
boxing,boxe
boy,garçon
bra,soutien-gorge
bracelet,bracelet
brakes,freins
brand/make,marque
bread,pain
break,récréation/récré
breakdown,panne
breakfast,petit déjeuner
bridegroom,marié
bridge,pont
bright,clair
bright spell,éclaircie
British,britannique
brochure/leaflet,brochure
broken,cassé
brother,frère
brother-in-law,beau-frère
brothers and sisters/siblings,frères et soeurs
brown,marron/brun
brussels sprouts,choux de bruxelles
builder,maçon
building,bâtiment
bus stop,arrêt de bus
bus/coach station,gare routière
business studies,commerce
business/shop,commerce
business/trade,commerce
busy,occupé
but,mais
butcher,boucher/bouchère
butcher’s shop,boucherie
butter,beurre
by bus,en bus
cabbage,chou
cable TV,télévision par câble/câble
café,café
cake,gâteau
calculator,calculatrice
call me (formal),appelez-moi
calm/peaceful,calme/tranquille
camcorder/video camera,caméra
camera,appareil photo
campaign,campagne
campsite,camping
Canada,Canada
Canadian,canadien/canadienne
canal,canal
canoeing,canoë-kayak
canteen,cantine
cap,casquette/képi
car,voiture/auto
car park,parking
caravan,caravane
cardigan,gilet
career,carrière
careers adviser,conseiller/conseillère  d’orientation
caretaker,concierge
carrot,carotte
cartoon,dessin animé
cashier,caissier/caissière
castle,château
casual jacket,blouson
cat,chat/chatte
cathedral,cathédrale
cauliflower,chou-fleur
CD (compact disc),disque compact/CD
celebration/party,fête
celebrity,célebrité/star
centilitre,centilitre 
centimetre,centimètre 
cereals,céréales
chair,chaise
champagne,champagne
championship,championnat
changeable,variable/incertain
changing room,vestiaires/cabine d’essayage
changing rooms,vestiaires/cabine d’essayage
character,caractère
character trait,trait
character/personality,personnalité
charity,organisation charitable/charité/organisme de bienfaisance
charity sale (e.g. bake sale),vente de charité
charming,charmant
chatroom,forum
chatty,bavard
cheap,bon marché/pas cher/peu coûteux/pas chère
cheeky,effronté
cheese,fromage
chemistry,chimie
cherry,cerise
chess,jeu d’échecs/échecs
chicken,poulet
child,enfant
China,Chine
Chinese,chinois
chips,frites
chocolate,chocolat
choice,choix
choir,chorale
Christmas,Noël
Christmas Eve,veille de Noël
church,église
cider,cidre
cinema,cinéma
civil servant,fonctionnaire
clarinet,clarinette
class register,appel
class test/assessment,contrôle
classical/classic,classique
classroom,salle de classe
clever,intelligent
climate,climat
climate (adjective),climatique
climbing/rock climbing,escalade
closed,fermé
closing,fermeture
clothes,vêtements
clothes shop,magasin de mode
cloud,nuage
cloudy,nuageux
club,club
coach,car
coal,charbon
coast,côte
coat/overcoat,manteau
cocoa,cacao
coffee,café
coffee break,pause-café
cold,froid
cold sliced meat,saucisson
colleague,collègue
collect,collectionner
collection,collection
colour,couleur
comfortable,confortable
comfortable (at ease),à l’aise
comic (magazine),BD
coming/arriving from,en provenance de
commercial,commercial
compartment,compartiment
competition,concours/compétition
complaint,plainte
computer,ordinateur
computer game,jeu vidéo
computer science,informatique
computer scientist,informaticien/informaticine
conceited,vaniteux/vaniteuse
concert,concert
conference,conférence
connection,correspondance/lien/connexion
continue,continue/continuez
cook,cuisinier/cuisinière
cooked/boiled,cuit
core/compulsory subject,matière obligatoire
corner,coin
correct number,bon numéro
corridor,couloir
Corsican,corse
country,pays
country (i.e. nation),pays
countryside,campagne
cousin,cousin/cousine
cream,crème
crisps,chips
cross (over),traverse/traversez
crossing (ferry),traversée
crossroads,carrefour
cucumber,concombre
cup,tasse
curly,bouclé/frisé
customer,client/cliente
customer service,accueil
Customs,douanes
cyber bullying,cyber harcèlement
cycle path,piste cyclable
cycling,cyclisme
dad,papa
damage,endommagement
dance/dancing,danse
Danish,danois
dark,foncé
data base,base de données
date of birth,date de naissance
daughter,fille
day,jour
day (a whole day),journée
day’s leave,jour de congé
dead,mort
December,décembre
degree (temperature),degré
degree (university),licence
delay,retard
delicious,délicieux/délicieuse
delivery,livraison
Denmark ,Danemark
dentist,dentiste
department (in a shop),rayon
department store,grand magasin
departure,départ
depressed,déprimé
designer,dessinateur/dessinatrice
desk,pupitre
dessert,dessert
destination,destination
detective/mystery/police (film),polar/film policier
detective/police (story),roman policier
detention,retenue
dial the number,composer le numéro
dictionary,dictionnaire
diesel (fuel),gasoil
digital,numérique
dining room,salle à manger
direct,direct
direction,direction
disadvantages,désavantages
disaster,désastre/catastrophe
disco,discothèque/disco
discrimination,discrimination
dish of the day,plat du jour
disk,disquette
divorced,divorcé
DIY (do it yourself),bricolage
do badly/fail,échouer
doctor,médecin/docteur
documentary,documentaire
dog,chien
don’t mention it,de rien
door (of train etc.),portière
double room,chambre pour deux personnes
drama,art dramatique/théâtre
drama (TV etc.),comédie dramatique
drama group,groupe théâtral
dream,rêve
dress,robe
dressed in,habillé/vêtu de
dressing gown,robe de chambre
drink,boisson
drink before meal,apéritif
drinking water,eau potable
driver,conducteur/conductrice/chauffeur
driving licence,permis de conduire
drought,sécheresse
drums,batterie
dry,sec
dry cleaner’s/dry cleaning,pressing/nettoyage à sec
DT (design technology),technologie
dubbed (film),doublé
duck,canard
during/for,pendant
Dutch,hollandais
dyed,teint
early,de bonne heure/tôt
earphones,écouteurs
earring,boucle d’oreille
earth,terre
earthquake,tremblement de terre
east,est
Easter,Pâques
Easter Monday,lundi de Pâques
easy,facile/simple
economics,économie
education,éducation
educational,éducatif/éducative
egg,oeuf
eighteenth,dix-huirième
eighth,huitième
eightieth,quatre-vingt-deuxième
electrical goods retailer,magasin d’électroménager
electrician,électricien/électricienne
electricity,électricité
electronic game, jeu électronique
eleventh,onzième 
email,mail/courriel
e-mail,mail/courrier électronique
email address,adresse email
emergency,urgence
emergency exit,sortie de secours
employee,employé/employée
employer,employeur
enclosed,ci-inclus
end,fin
energy/power,énergie
engaged,fiancé/fiancée
engagement,fianςailles
engineer,ingénieur
England ,Angleterre
English,anglais
enjoy your meal!,bon appétit
enjoy your stay,bon séjour
enjoy yourself/yourselves!,amusez-vous bien!
enough,assez de
entertainment,divertissement
entertainment/things to do,distractions
entrance,entrée
environment,environnement
equipment,équipement
especially,surtout/en particulier/spécialement/particulièrement
essay,rédaction
euro,euro
Europe,Europe
European,européen/européenne
even if,même si
evening,soir
evening (a whole evening),soirée
evening meal/dinner,repas du soir/dîner
event,événement
every day,tous les jours
every Monday,chaque lundi/tous les lundis
everybody,tout le monde
everywhere,partout
examination,examen
except,sauf/excepté
exchange,échange
exciting,passionnant/passionnante/excitant
excuse me/I'm sorry,excusez-moi
exercise book,cahier
exercise/practice,exercice
exhibition,exposition
exit,sortie
expensive,cher/chère
experienced,expérimenté
experiment,expérience
extreme sports,sports extrêmes
eyes,yeux
face,visage
factory,usine
fair,juste/foire/équitable
fair trade,commerce équitable
fairly/quite,assez
faith (religious),foi
family,famille
famous,célèbre/fameux/connu
fanatical about,fanatique de
fantastic,fantastique
fantasy film,film de fantaisie
far from,loin de
fare,tarif
farm,ferme
farmer,fermier/fermière
farmer worker,agriculteur/agricultrice
fashion,mode
fashionable,à la mode/en vogue
fast,rapide/vite
fast train,train express
fat,gros/grosse
father,père
favourite,favori/favorite/préféré
February,février
feeling,sentiment
felt tip,feutre
fencing,escrime
ferry,ferry
fiancé,fiancé
fiancée,fiancée
fifteenth,quinzième
fifth,cinquième
fiftieth,cinquantième
figure (number),chiffre
file,classeur/fichier
file (data),fichier
final exam,examen final
finally,enfin/finalement
fireman,pompier
fireworks,feux d’artifice
first,premier/première
first day of the school year,rentrée
first name,prénom
first of all,tout d’abord/d’abord
fish,poisson
fishing rod,canne à pêche
fitting room,cabine d’essayage
five to three,trois heures moins cinq
fixed price menu,menu à prix fixe
flat/apartment,appartement
flight,vol
flood/flooding,innondation
floor (1st/2nd),étage
flute,flûte
fog,brouillard
folder,dossier
folk music,musique folk
food,alimentation/nourriture
food shopping,provisions
food technology,arts ménagers
football,football
for,pour
for example,par exemple
for the attention of,à l’attention de
foreign languages,langues étrangères
foreigner,étranger/étrangère
fork,fourchette
form,fiche/formulaire
former,ancien/ancienne
fortieth,quarantième
fortnight,quinzaine/quinze jours
fortunately,heureusement
forward slash,slash
fountain,fontaine
fountain pen,stylo à encre
fourteenth,quatorzième
fourth,quatrième
France ,France
free (at no cost),gratuit/gratuite
free (available/vacant),libre
free (unoccupied/available),libre/vacant/inoccupé/inoccupée
free time,temps libre
French,français
French stick (i.e. long loaf of bread),baguette
fresh water,eau douce
Friday,vendredi
fried egg,oeuf au plat
friend,ami/amie
friend (also boyfriend/girlfriend),copain/copine
friendly,sympathique/amical/amicale
friendship,amitié
frightening,effrayant/effrayante
frogs’ legs,cuisses de grenouille
from,de/à partir de
from time to time,de temps en temps
fruit,fruit
fruit juice,jus de fruit
fruit pie,tarte aux fruits
fruit tea,infusion
full,plein
full (hotel etc.),complet
full board (all meals included),pension complète
full fat milk,lait entier
fun/amusing,amusant
funny (comical),drôle/marrant/rigolo/rigolote
furnished,meublé
furniture,meubles
further to/following,suite à
future plans,projets pour l’avenir
game,jeu
games console,console de jeux
games room,salle de jeux
gang,bande
garage,garage
garage/service station/petrol station,station service
garden,jardin
garlic,ail
gas,gaz
GCSE equivalent,brevet
gender/sex,sexe
generous,généreux/généreuse
geography,géographie/geo
German,allemand
Germany ,Allemagne
gifted,doué
girl,fille
glass,verre
glasses,lunettes
global warming,réchauffement de la terre
global/world wide,mondiale
glove,gant
glue,colle
go straight on,va/allez tout droit
goal,but
goat’s cheese,fromage de chèvre
goldfish,poisson rouge
good,bon/bonne
good evening,bonsoir
Good Friday,vendredi saint
good luck,bonne chance/bon courage
goodbye,au revoir
goodnight,bonne nuit
goose,oie
goose liver pâté,pâté de foie gras
gram,gramme 
grandad,papy/pépé
grandchild,petit-fils/petite-fille
grandfather,grand-père
grandma/granny,mamie/mémé
grandmother,grand-mère
grandparents,grands-parents
grapefruit,pamplemousse
grapes,raisins
grateful,reconnaissant/reconnaissante
gravy,jus
great (fantastic),chouette/super/génial
great (marvellous),formidable/merveilleux/merveilleuse
Great Britain ,Grande-Bretagne
Greece ,Grèce
Greek,grec/grecque
green,vert
green beans,haricots verts
grey,gris
grocery/grocer’s shop,épicerie
ground floor,rez-de-chaussée
guarantee,garantie
guest (in a hotel)/customer,client
guided tour,visite guide
guinea pig,cochon d’Inde
guitar,guitar
guy/dude/bloke,mec
gym,gymnase
gymnastics,gymnastique
hail,grêle
hair,cheveux
half,demi
half board (B and B and evening meal),demi-pension
half past ten,dix heures et demie
half-sister,demi-soeur
half-term,mi-trimestre
half-time,mi-temps
ham,jambon
hamburger,hamburger
hamster,hamster
handbag,sac à main
handball,handball
happy,content/heureux/heureuse
Happy birthday,Bon anniversaire
Happy New Year,Bonne année
hard,dur/difficile
hard disk,disque dur
hardly,à peine
hardworking,travailleur/travailleuse
hat,chapeau
have a good day,bonne journée
have a good evening,bonne soirée
have a good journey,bon voyage
headteacher,directeur/directrice
headteacher of lycée or college,proviseur
healthy (food/way of life),sain
heat,chaleur
heating,chauffage
heavy,lourd/lourde
heavy goods vehicle (HGV),poids lourd
helicopter,hélicoptère
hello (on the telephone),allô
hello/good morning,bonjour
help!,au secours!
here,ici
here is/here are,voici
hi,salut
high street/main street,grande rue
high temperature,température élevée
high/tall (building),haut
higher education,études universitaires
highest temperature,température maximale
hill,colline
historic,historique
history,histoire
history-geography/humanities,histoire-géo
hobby/leisure activity,passe-temps
hockey,hockey
holiday/fair/festival,fête
Holland ,Hollande
homemade,fait maison/faite maison
homepage,page d’accueil
homework,devoirs
honest,honnête
honey,miel
horror film,film d’épouvante/film d’horreur
hospital,hôpital
hospitality,hospitalité
hot,chaud
hot chocolate,chocolat chaud
hotel,hôtel
hour,heure
house,maison
household goods shop,droguerie
how do you spell that?,ça s’écrit comment?
how much/how many?,combien (de)?
how?,comment?
however,cependant/pourtant
hundredth,centième
hunger/famine,faim/famine
hurricane,ouragan
husband,mari
hypermarket,grande surface/hypermarché
I don’t know,je ne sais pas
I don’t mind,ça m’est égal
I don’t understand,je ne comprends pas
I like it,ça me plaît
I will put you through,je vous le passe/je vous la passe
I’ll be right back,je reviens tout de suite
I’m fine/it’s OK,ça va
I’m listening,je vous écoute
I’ve had enough,j’en ai assez
ice cream,glace
ice cream parlour,glacier
ice rink,patinoire
ice skating,patinage/patin à glace
ICT,informatique
ideal,idéal
identical twins,vrais jumeaux/vraies jumelles
identification/ID,pièce d’identité
if,si
immediately,immédiatement/tout de suite
impatient,impatient
impolite,impoli
impression,impression
in (inside),dans/dedans
in a good mood,de bonne humeur
in a good/bad mood,de bonne/mauvaise humeur
in a hurry,pressé/dans la hâte
in advance,en avance
in aid of,au profit de
in autumn,en automne
in front of/in the front,devant/à l'avant/dans le devant
in love,amoureux/amoureuse
in my opinion,à mon avis
in order to,pour
in spring,en printemps
in summer,en été
in the background/at the back,au fond
in the east,dans l’est/à l’est
in the foreground,au premier plan
in the middle of,au milieu de
in the north,dans le nord/au nord
in the south,dans le sud/au sud
in the west,dans l’ouest/à l’ouest
in winter,en hiver
included,inclus
independent,indépendant/indépendante
India,Inde
Indian,indien/indienne 
indoor swimming pool,piscine couverte
industrial,industriel
industry,industrie
information office,bureau d’accueil/bureau de renseignements
ink cartridge,cartouche d’encre
inn (traditional),auberge
inside,à l’intérieur
instant,instantané
instructions for use,mode d’emploi
insurance,assurance
intelligent,intelligent
intelligent/clever,intelligent/intelligente
international,international
internet,internet
internet page,page internet
internship,stage
interview (job),entretien
interview (TV or magazine),entrevue
invitation,invitation
Ireland ,Irlande
Irish,irlandais
ironmonger’s/hardware shop,quincaillerie
it annoys me,ça m’énerve
it depends,ça dépend
it doesn’t matter,ça ne fait rien
it is 100 metres away,c’est à 100 mètres
it is five past three,il est trois heures cinq
it is forbidden to,il est interdit de/il est défendu de
it is freezing,il gèle
it is lightning,il y a des éclairs
it is necessary,il faut
it is raining,il pleut
it is snowing,il neige
it is stormy,il fait de l’orage
it is thundering,il y a du tonnerre/il fait du tonnerre
it is very close,c’est très près
it makes me laugh,ça me fait rire
it suits you,il te va bien
It’s a pleasure,je t’en prie/je vous en prie
it’s all the same to me,ça m’est égal
it’s not worth it,ce n’est pas la peine
Italian,italien/italienne
Italy ,Italie
jacket,veste
jam,confiture
January,janvier
jar,pot
jealous,jaloux/jalouse
jeans,jean
jeweller’s (shop)/jewellery (craft),bijouterie
jewels,bijoux
job,emploi
job advert/vacancy,offre d’emploi
job/position,emploi/poste
journalist,journaliste
journey,voyage
journey (short),trajet
judo,judo
juice,jus
July,juillet
June,juin
just now/in a little while,tout à l’heure
karate,karaté
kebab,brochette
key,clef/clé
key (on keyboard),touche
keyboard,clavier
kilometre,kilomètre 
kind,gentil/gentille/aimable
kindergarten/nursery school,maternelle
kiss,baiser
kitchen,cuisine
knife,couteau
knowledge,connaissances
laboratory,laboratoire
lack of,manque de
lake,lac
lamb,agneau
lamb chop,côtelette d'agneau
language,langue
language lab,laboratoire de langues
large (object),grand/grande
large (person),gros/grosse
last,dernier/dernière
last night (during the night),cette nuit
last night (yesterday evening),hier soir
later,plus tard
latin,latin
launderette,laverie automatique
law (study of the subject),droit
lazy,paresseux/paresseuse
league/division (sports),ligue
leather/made of leather,cuir/en cuir
leeks,poireaux
left luggage office/locker,consigne
leggings,caleçon
leisure,loisirs
leisure centre,centre de loisirs
lemon,citron
lemonade,limonade
Lent,Carême
less,moins de
lesson,cours
letter of application,lettre de candidature
lettuce,laitue
lettuce/salad,salade
level crossing,passage à niveau
library,bibliothèque
life,vie
lift,ascenseur
light,clair/léger/légère
line/route,ligne
link,lien
lipstick,rouge à lèvres
litter/rubbish bin,poubelle
lively,animé
living room/front room,salle de séjour/séjour
loaf,pain
lobby,vestibule
local inhabitant,habitant/e
locked,fermé à clef
loft,grenier
long,long/longue
loose (i.e. too big),large
lorry,camion
lost,perdu/perdue
lost property office,bureau des objets trouvés
loudly,bruyamment
lounge,salon
low temperature,température basse
lowest temperature,température minimale
loyal/faithful,fidèle
luggage,bagages
lunch,déjeuner
lunch break,heure du déjeuner
luxurious,de luxe
mad/crazy,fou/folle
made of cotton,en coton
made of linen,en lin
made of silk,en soire
made of velvet,en velours
magazine,magazine/revue
magnificent,magnifique
main course,plat principal
make/brand,marque
makeup,maquillage
malnourished,mal nourri
man,homme
manager,gérant/gérante/directeur/directrice
map (of a country/road map),carte
map of the town,plan de la ville
March,mars
margarine,margarine
mark/grade,note
market,marché
marketing,marketing
marriage ceremony/wedding,noces
marriage/wedding,mariage
married,marié
martial arts,arts martiaux
marvellous,merveilleux/merveilleuse
Massif Central,le Massif Central
maths,mathématiques/maths
mature,mûr
May,mai
meal,repas
mean/nasty,méchant
means of transport,moyen de transport
meat,viande
meatball,boulette
mechanic,mécanicien/mécanicienne
media studies,étude des medias
medicine (study of the subject),médicine
medium (size),de taille moyenne
medium (steak),à point
meet you at 6 o’clock,rendez-vous à six heures
meeting,réunion
meeting/discussion,réunion
melody/tune,mélodie
melon,melon
member of the family,membre de la famille
memory card,carte mémoire
menu,carte
message,message
metre,mètre 
midday,midi
midnight ,minuit
milk,lait
millionth,millionième
mince,viande hâchée
mineral water,eau minérale
minute,minute
Miss,mademoiselle
mist,brume
mistake,erreur
mistake/fault,faute
misty,brumeux
mixed,mixte/mélangé
mobile phone,portable
model,mannequin
modern,moderne
modern languages,langues vivantes
moment,instant/moment
Monday,lundi
money,argent
month,mois
monument,monument
mood,humeur
moped,mobylette
more,plus de
morning,matin
morning (the whole morning),matinée
mosque,mosquée
mother,mère
mothers’ day,fête des mères
motorbike,moto
motorway,autoroute
motorway junction,intersection
motorway services,aire de repos
mountain,montagne
mountain bike,VTT/vélo tout terrain
mountaineering,alpinisme
mouse,souris
moustache,moustache
mouth,bouche
MP3 player,mp3
Mr (also Sir),monsieur
Mrs (also Madam),madame
multicultural,multiculturel
mum,maman
museum,musée
mushroom,champignon
music,musique
music festival,festival de musique
musical comedy (a musical),comédie musicale
musician,musicien/musicienne
mustard,moutarde
myself,moi-même
napkin,serviette
natural resources,ressources naturelles
naughty,méchant/vilain
near to,près de/proche de
necessary,nécessaire
necklace,collier
negative,négatif/négative
neighbour,voisin/voisine
nephew,neveu
Netherlands ,Pays-Bas
never,jamais
new,nouveau/nouvel/nouvelle
new (brand new),neuf/neuve
New Year,Nouvel An
news,actualités/informations/infos
newspaper stall,kiosque à journaux
next,prochain
next to,à côté de/à proximité de
nice (weather),beau
nice/kind,gentil/le
nice/likeable,sympa
nice/likeable,sympa/sympathique/aimable
nickname,surnom
niece,nièce
night,nuit
nightclub,boîte de nuit
nightdress,chemise de nuit
nine o’clock in the evening,neuf heures du soir
nineteenth,dix-neuvième
nineth,neuvième
ninetieth,quatre-vingt-dizième
no entry (when driving),sens interdit
no parking,stationnement interdit
no thank you,non merci
noise,bruit
noisy,bruyant
noodles,nouilles
normal,normal/normale
north,nord
North America,Amérique du Nord
not yet,pas encore
November,novembre
now,maintenant
nowhere,nulle part/nul part
number,nombre
number (e.g. phone number),numéro
numerous,nombreux/nombreuse
nurse,infirmier/infirmière
occupied/taken,occupé
October,octobre
of course,bien sûr
office,bureau
often,souvent
oil,pétrole/huile
okay (in agreement),d’accord
old,vieux/vieil/vieille
old (former),ancien/ancienne
old fashioned,démodé
old fashioned (vintage/retro style),rétro
old people’s home,maison de retraite
older,plus âgé/plus âgée
oldest (brother/sister),aîné/aînée
Olympic games,Jeux olympiques
omelette,omelette
on (on top of),sur
on foot,à pied
on Monday evening,lundi soir
on Monday morning,lundi matin
on Mondays,le lundi
on the left,à gauche
on the line/speaking,à l’appareil
on the right,à droite
on time,à l’heure
once,une fois
once again,encore une fois
one way street,sens interdit/unique
onion,oignon
online,en ligne
only child,fils unique/fille unique
open,ouvert
opposite,en face de
optimistic,optimiste
optional (subject),facultatif/facultative
or,ou
oral,oral/orale
orange,orange
orchestra,orchestre
original version,version originale
other,autre
outing/trip,excursion
outside,dehors/à l'extérieur/en dehors/extérieur
outside/in the open air,en plein air
over there,là-bas/là bas/par là
overcast,couvert
own,propre
package holiday,voyage organisé
packet,paquet
pad of paper,bloc-notes
page,page
Pakistan,Pakistan
Pakistani,pakistanais
palace,palais
pale,pâle
pants/briefs,culotte/slip
parachuting,parachutage
paragliding,parapente
Pardon?,pardon?
parents,parents/parente
parents’ evening,rencontre parents-professeurs
park,jardin public/parc
park/green space,espace vert
part time,mi-temps
party,fête/surprise-partie
passenger,passager/passagère
passport,passeport
passport control,contrôle des passeports
password,mot de passe
pasta,pâtes
pastries,pâtisseries
pâté,pâté
payment method,mode de paiement
PE,éducation physique/EPS
peaceful,tranquille/calme
peach,pêche
pear,poire
peas,petits pois
pedestrian,piéton
pedestrian area,zone piétonne
pedestrian crossing,passage piéton
pen/ballpoint pen,stylo
pencil,crayon
pencil case,trousse
penfriend,correspondant/correspondante
pensioner/senior citizen,retraité
people,gens
pepper,poivre
pepper (vegetable),poivron
per hour,à l’heure
perfect,parfait
perfume,parfum
perhaps,peut-être
permission,autorisation
person,personne
personal and social education (PSE),instruction civique
personally,personnellement
pessimistic,pessimiste
pet,animal domestique
petanque (outdoor game similar to bowls),pétanqu/boules
petrol,essence
pharmacist,pharmacien/pharmacienne
physics,physique
physics and chemistry,sciences physiques
piano,piano
picture,image
picturesque,pittoresque
piece of bread (with butter/jam often for breakfast),tartine
pillow,oreiller
pineapple,ananas
pink,rose
pistachio,pistache
pitch (for tent),emplacement
pizza,pizza
pizzeria/pizza restaurant,pizzeria
place,endroit/lieu
place of residence,domicile
place setting,couvert
plain/solid,uni
plan/project,projet
plane,avion
planet,planète
planned,prévu
plate,assiette
platform,quai
play (theatre),pièce de théâtre
player,joueur/joueuse
playground,cour de récréation/terrain/aire de jeux
pleasant (person),aimable
pleasant (thing),agréable
please (informal),s’il te plaît
please (polite),s’il vous plaît
please repeat that (formal),répétez s’il vous plaît
pleased,content
pleasure/amusement,plaisir
plum,prune
plumber,plombier
pocket money,argent de poche
poet,poète
police officer,agent de police/policier
police station,commissariat/gendarmerie
policeman,policier/agent de police/gendarme
pollution,pollution
poloshirt,polo
pop music,musique pop
popular,populaire
pork,porc
pork chop,côtelette de porc
port,port
portion,portion
positive,positif/positive
post office,poste
postcard,carte postale
postcode,code postal
poster/notice,affiche
pot of coffee,cafetière
potato,pomme de terre
poverty,pauvreté
practical,pratique
prepared food/ready meal,plat cuisiné
present (in school),présent
present/gift,cadeau
pressure,pression
pretentious,prétentieux/prétentieuse
pretty,joli
price list,liste des prix/tarif
priest,prêtre/curé
primary school,école primaire
printer,imprimante
priority,priorité
private school,école privée
problem,problème
procession,défilé
profession/job/occupation,métier
programmer,programmeur
progress,progrès
progress/improvement,progrès
projector,projecteur
promotion prospects,possibilités d’avancement
pronunciation,prononciation
protection,protection
province,province
public holiday,jour férié/jour de fête
public transport,transports en commun
public/municipal,publique/municipal
pupil,élève
purse,portemonnaie
pyjamas,pyjama
qualification,diplôme
qualified,qualifié/diplômé
quantity,quantité
quarter,quart 
quarter past seven,sept heures et quart/sept heures et quinze
quarter to six,six heures moins le quart/six heures moins quinze minutes
question,question
quickly,vite/rapidement
quiet,tranquille/calme
quite a few,pas mal de
quiz show,jeu télévisé
rabbit,lapin
race/racing,course
racist,raciste
radish,radis
