setName,headerName,vocabList
Connectives,Fundamentals,also+and+before+but+first of all+nevertheless/ however+or+so+then/ afterwards+then+though
Common expressions,Conversation,all the better+good luck+here you are+How do you spell that?+I don’t mind+I’m fine+I’ve had enough+in my opinion+it depends+it doesn’t matter+mine+of course+OK+once again+there you are+to be about to+to be in the process of+too bad+usually+what a shame+with pleasure+as/like+because+end+everybody+figure+for example+if+middle/ half+Miss+Mr+Mrs+no+number+shape+someone+something+thing+this/that+time+type+way+yes+best wishes+good evening+goodbye+goodnight+hello/good day+help+hi+please (request)/please (polite)+see you later+see you soon+see you tomorrow+thank you+thank you very much
Social conventions,Conversation,area code+at the moment+call me (informal/formal)+dial the number+for the attention of+further to/following+I will put you through+I’ll be right back+I’m listening+in communication with+in fact+moment+on the line+on the line/speaking+paging+receiver (telephone)+see you later+see you soon+sent by+stay on the line+telephone+telephone book+text+text message+tone+voice mail+wait+wrong number
Numbers,Number,1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+40+41+42+43+44+45+46+47+48+49+50+51+52+53+54+55+56+57+58+59+60+61+62+63+64+65+66+67+68+69+70+71+72+73+74+75+76+77+78+79+80+81+82+83+84+85+86+87+88+89+90+91+92+93+94+95+96+97+98+99+100
Quantities,Number,a bottle of+a box of+a dozen+a jar of+a little of+a packet of+a part of+a piece of+a quarter of+a slice of+a third of+a tin+double/twice+each+enough+enough+exactly+half of+kilogram+litre+maximum+minimum+much/many+nothing+only+several
Time Expressions,Calendar,a fortnight+a fortnight+afternoon/in the afternoon+ago+always+at the start+day+day after tomorrow+day before yesterday+early+evening+every day+from+from time to time+just now/straight away+last+last night+last year+later+midnight+minute+morning /in the morning+next+night /at night+now+on time+on time+party+since / from+soon+the day after tomorrow+the day before yesterday+the next day+today+tomorrow+week+weekend+year+yesterday
Times of the day,Calendar,at midnight+at night+at noon+at one o’clock+at two o’clock/etc+five past/etc+half past+hour+in the evening+in the morning+it’s one o’clock+it’s two o’clock/etc+minute+quarter past+quarter to
Days of the week,Calendar,Monday+Tuesday+Wednesday+Thursday+Friday+Saturday+Sunday
Months and seasons of the year,Calendar,January+February+March+April+May+June+July+August+September+October+November+December+Spring+Summer+Autumn+Winter
Countries and Continents,Location,Austria+Belgium+Denmark+England+France+Germany+Great Britain+Greece+Holland+Ireland+Italy+Netherlands+Russia+Scotland+Spain+Sweden+Switzerland+United Kingdom+United States+Wales+Africa+Asia+Australia+Europe+North America+South America+American+Austrian+Belgian+British+Danish+Dutch+English+European+French+German+Greek+Irish+Italian+Russian+Scottish+Spanish+Swedish+Swiss+Welsh
